Feature,Importance
InvestorGrowth,0.0061748898170178
Cat,0.02732649334639644
ValueGrowth,0.032866543577909656
TradingDays,0.03373907107348196
MeanReturn,0.1274988234008641
Volatility,0.16169066561250806
DepositRate,0.2714508884267934
MeanExcess,0.33925262474502865
